time	AirTemp
0.002739726	5.4
0.005479452	6.4
0.008219178	2.1
0.010958904	-0.3
0.01369863	-3.6
0.016438356	-1.7
0.019178082	-0.3
0.021917808	3.9
0.024657534	1.5
0.02739726	1.0
0.030136986	-2.4
0.032876712	0.5
0.035616438	3.1
0.038356164	1.1
0.04109589	1.0
0.043835616	3.5
0.046575342	2.1
0.049315068	1.2
0.052054795	-0.7
0.054794521	0.2
0.057534247	-0.6
0.060273973	-1.7
0.063013699	-4.9
0.065753425	-2.1
0.068493151	-0.5
0.071232877	-1.8
0.073972603	0.1
0.076712329	1.3
0.079452055	0.7
0.082191781	-0.9
0.084931507	-0.2
0.087671233	-1.3
0.090410959	-6.1
0.093150685	-5.7
0.095890411	-4.5
0.098630137	-3.7
0.101369863	-0.8
0.104109589	0.6
0.106849315	-0.9
0.109589041	3.4
0.112328767	2.8
0.115068493	2.4
0.117808219	2.2
0.120547945	0.4
0.123287671	-2.6
0.126027397	-0.6
0.128767123	-0.9
0.131506849	0.3
0.134246575	4.6
0.136986301	5.3
0.139726027	2.4
0.142465753	1.2
0.145205479	1.2
0.147945205	1.4
0.150684932	2.2
0.153424658	3.5
0.156164384	1.5
0.15890411	1.8
0.161643836	2.1
0.164383562	1.1
0.167123288	3.5
0.169863014	1.8
0.17260274	1.3
0.175342466	0.3
0.178082192	3.8
0.180821918	5.7
0.183561644	10.6
0.18630137	5.9
0.189041096	6.5
0.191780822	5.4
0.194520548	1.5
0.197260274	0.6
0.2	1.5
0.202739726	3.0
0.205479452	3.9
0.208219178	4.3
0.210958904	4.7
0.21369863	5.3
0.216438356	4.5
0.219178082	-1.0
0.221917808	-0.9
0.224657534	4.1
0.22739726	5.4
0.230136986	0.9
0.232876712	3.5
0.235616438	4.2
0.238356164	4.4
0.24109589	4.1
0.243835616	4.4
0.246575342	3.8
0.249315068	2.4
0.252054795	2.6
0.254794521	2.7
0.257534247	3.3
0.260273973	3.0
0.263013699	2.5
0.265753425	7.8
0.268493151	8.3
0.271232877	7.9
0.273972603	8.2
0.276712329	9.5
0.279452055	7.8
0.282191781	6.3
0.284931507	3.1
0.287671233	5.9
0.290410959	6.3
0.293150685	4.8
0.295890411	6.2
0.298630137	8.1
0.301369863	10.8
0.304109589	9.4
0.306849315	9.3
0.309589041	11.2
0.312328767	8.1
0.315068493	9.8
0.317808219	9.1
0.320547945	6.7
0.323287671	6.0
0.326027397	5.9
0.328767123	7.5
0.331506849	2.8
0.334246575	5.8
0.336986301	7.3
0.339726027	6.7
0.342465753	10.2
0.345205479	12.8
0.347945205	9.8
0.350684932	8.1
0.353424658	8.6
0.356164384	9.5
0.35890411	10.8
0.361643836	12.3
0.364383562	10.2
0.367123288	8.8
0.369863014	7.8
0.37260274	8.0
0.375342466	7.7
0.378082192	7.5
0.380821918	8.2
0.383561644	8.9
0.38630137	10.3
0.389041096	9.9
0.391780822	11.4
0.394520548	10.9
0.397260274	10.1
0.4	9.7
0.402739726	10.9
0.405479452	9.1
0.408219178	9.8
0.410958904	8.3
0.41369863	10.5
0.416438356	11.3
0.419178082	9.9
0.421917808	11.7
0.424657534	12.1
0.42739726	12.9
0.430136986	16.8
0.432876712	12.3
0.435616438	11.7
0.438356164	12.4
0.44109589	13.3
0.443835616	15.9
0.446575342	18.1
0.449315068	17.1
0.452054795	14.1
0.454794521	11.9
0.457534247	12.2
0.460273973	10.0
0.463013699	12.0
0.465753425	11.2
0.468493151	12.0
0.471232877	12.6
0.473972603	12.4
0.476712329	13.4
0.479452055	13.5
0.482191781	13.9
0.484931507	13.2
0.487671233	16.3
0.490410959	15.7
0.493150685	14.7
0.495890411	15.8
0.498630137	19.7
0.501369863	21.6
0.504109589	22.6
0.506849315	22.2
0.509589041	22.4
0.512328767	18.5
0.515068493	16.9
0.517808219	15.9
0.520547945	12.5
0.523287671	12.1
0.526027397	15.8
0.528767123	15.0
0.531506849	15.2
0.534246575	16.3
0.536986301	16.5
0.539726027	15.6
0.542465753	14.6
0.545205479	16.2
0.547945205	15.4
0.550684932	16.1
0.553424658	13.6
0.556164384	16.4
0.55890411	15.5
0.561643836	15.2
0.564383562	11.8
0.567123288	14.5
0.569863014	13.4
0.57260274	14.7
0.575342466	14.5
0.578082192	13.9
0.580821918	13.9
0.583561644	15.2
0.58630137	14.7
0.589041096	15.4
0.591780822	17.3
0.594520548	17.7
0.597260274	17.4
0.6	19.9
0.602739726	17.4
0.605479452	15.7
0.608219178	17.1
0.610958904	17.0
0.61369863	17.7
0.616438356	15.9
0.619178082	15.1
0.621917808	16.9
0.624657534	17.0
0.62739726	15.0
0.630136986	16.6
0.632876712	16.3
0.635616438	15.4
0.638356164	16.1
0.64109589	16.2
0.643835616	15.9
0.646575342	19.2
0.649315068	18.9
0.652054795	15.5
0.654794521	17.7
0.657534247	15.9
0.660273973	15.0
0.663013699	15.5
0.665753425	13.9
0.668493151	13.4
0.671232877	16.1
0.673972603	13.6
0.676712329	12.5
0.679452055	10.0
0.682191781	11.4
0.684931507	11.3
0.687671233	11.5
0.690410959	9.4
0.693150685	11.7
0.695890411	12.4
0.698630137	13.7
0.701369863	14.2
0.704109589	14.9
0.706849315	14.5
0.709589041	13.3
0.712328767	17.1
0.715068493	13.9
0.717808219	13.0
0.720547945	10.8
0.723287671	10.5
0.726027397	9.8
0.728767123	13.6
0.731506849	12.2
0.734246575	12.0
0.736986301	10.3
0.739726027	8.3
0.742465753	8.5
0.745205479	8.2
0.747945205	11.4
0.750684932	12.7
0.753424658	13.8
0.756164384	10.1
0.75890411	9.9
0.761643836	8.8
0.764383562	6.3
0.767123288	6.3
0.769863014	7.1
0.77260274	6.2
0.775342466	5.1
0.778082192	6.7
0.780821918	4.4
0.783561644	8.1
0.78630137	7.6
0.789041096	4.1
0.791780822	5.9
0.794520548	5.0
0.797260274	4.4
0.8	5.1
0.802739726	7.3
0.805479452	7.6
0.808219178	11.0
0.810958904	9.6
0.81369863	9.2
0.816438356	9.2
0.819178082	5.8
0.821917808	7.5
0.824657534	6.3
0.82739726	7.1
0.830136986	6.8
0.832876712	7.3
0.835616438	9.0
0.838356164	9.6
0.84109589	6.3
0.843835616	8.3
0.846575342	7.3
0.849315068	7.9
0.852054795	10.1
0.854794521	7.1
0.857534247	7.5
0.860273973	8.9
0.863013699	8.6
0.865753425	8.3
0.868493151	6.4
0.871232877	5.9
0.873972603	6.2
0.876712329	4.6
0.879452055	4.4
0.882191781	4.2
0.884931507	4.4
0.887671233	-2.8
0.890410959	-5.5
0.893150685	-6.2
0.895890411	-6.1
0.898630137	1.6
0.901369863	2.2
0.904109589	2.0
0.906849315	6.7
0.909589041	4.5
0.912328767	3.1
0.915068493	3.4
0.917808219	2.4
0.920547945	1.3
0.923287671	6.0
0.926027397	6.7
0.928767123	9.4
0.931506849	10.8
0.934246575	5.1
0.936986301	1.2
0.939726027	7.0
0.942465753	8.5
0.945205479	3.7
0.947945205	2.4
0.950684932	-4.0
0.953424658	-3.6
0.956164384	0.4
0.95890411	-0.6
0.961643836	3.6
0.964383562	9.6
0.967123288	10.0
0.969863014	11.6
0.97260274	8.6
0.975342466	6.1
0.978082192	7.9
0.980821918	5.3
0.983561644	5.6
0.98630137	-0.6
0.989041096	-2.1
0.991780822	-1.7
0.994520548	-3.0
0.997260274	-1.6
1	-1.1
